STATEFP,COUNTYFP,TRACTCE,GEOIDFQ,GEOID,NAME,NAMELSAD,STUSPS,NAMELSADCO,STATE_NAME,LSAD,ALAND,AWATER,population,area_km2,population_density,log_population_density,observations,diversity,total_birds,population_summary,area_km2_summary,population_density_summary,log_population_density_summary,log_observations,log_total_birds,nlcd_code,nlcd_class,pop_density_group
48,195,950300,1400000US48195950300,48195950300,9503,Census Tract 9503,TX,Hansford County,Texas,CT,834841461,696246,3384,835.2817032777839,4.051327817574147,1.6196511428992353,667.0,116.0,10705.0,3384.0,835.2817032777839,4.051327817574147,1.6196511428992353,6.504288173536645,9.278559610953327,82,Agriculture,Low density
48,375,013000,1400000US48375013000,48375013000,130,Census Tract 130,TX,Potter County,Texas,CT,5126194,0,1432,5.136076453779693,278.81204901967067,5.634118124276573,3.0,3.0,14.0,1432.0,5.136076453779693,278.81204901967067,5.634118124276573,1.3862943611198906,2.70805020110221,52,Shrub/Scrub,Low density
48,375,010700,1400000US48375010700,48375010700,107,Census Tract 107,TX,Potter County,Texas,CT,2001766,0,3421,1.9976220844009824,1712.5361331924998,7.446314428452993,1.0,1.0,8.0,3421.0,1.9976220844009824,1712.5361331924998,7.446314428452993,0.6931471805599453,2.1972245773362196,23,Developed,High density
48,375,015200,1400000US48375015200,48375015200,152,Census Tract 152,TX,Potter County,Texas,CT,7732828,0,2275,7.7352983990518736,294.1063010935493,5.6873356341219825,807.0,101.0,7040.0,2275.0,7.7352983990518736,294.1063010935493,5.6873356341219825,6.694562058521095,8.859505484519133,22,Developed,Low density
48,067,950200,1400000US48067950200,48067950200,9502,Census Tract 9502,TX,Cass County,Texas,CT,574191046,24852383,2476,599.1480198507819,4.132534729258805,1.6355996364265497,328.0,93.0,2816.0,2476.0,599.1480198507819,4.132534729258805,1.6355996364265497,5.796057750765372,7.943427767876373,42,Forest,Low density
48,073,951000,1400000US48073951000,48073951000,9510,Census Tract 9510,TX,Cherokee County,Texas,CT,486888163,1599917,2838,488.4716874999213,5.809958023412477,1.9183859561794983,144.0,55.0,421.0,2838.0,488.4716874999213,5.809958023412477,1.9183859561794983,4.976733742420574,6.045005314036012,42,Forest,Low density
48,073,950801,1400000US48073950801,48073950801,9508.01,Census Tract 9508.01,TX,Cherokee County,Texas,CT,519280593,393509,3270,519.6778614031964,6.292359638277804,1.986827175166594,456.0,85.0,933.0,3270.0,519.6778614031964,6.292359638277804,1.986827175166594,6.124683390894205,6.839476438228843,42,Forest,Low density
48,079,950100,1400000US48079950100,48079950100,9501,Census Tract 9501,TX,Cochran County,Texas,CT,2007453830,229068,2520,2008.043491562891,1.2549528984746467,0.8131290851421011,640.0,104.0,2988.0,2520.0,2008.043491562891,1.2549528984746467,0.8131290851421011,6.46302945692067,8.002694162283937,52,Shrub/Scrub,Low density
48,085,031643,1400000US48085031643,48085031643,316.43,Census Tract 316.43,TX,Collin County,Texas,CT,2155712,0,4423,2.143554941197911,2063.3947443998036,7.632592360446783,3.0,3.0,3.0,4423.0,2.143554941197911,2063.3947443998036,7.632592360446783,1.3862943611198906,1.3862943611198906,23,Developed,High density
48,085,032003,1400000US48085032003,48085032003,320.03,Census Tract 320.03,TX,Collin County,Texas,CT,2291413,0,6594,2.2975931767117954,2869.9597765332046,7.962401669759319,89.0,26.0,246.0,6594.0,2.2975931767117954,2869.9597765332046,7.962401669759319,4.499809670330265,5.5093883366279774,23,Developed,High density
